tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
58988,LYA,CAN,2015,X,8,X,0,N/A,Typhoon,AV,APC,,,,,Libya,Canada,N,0.25,2,0
37553,MAL,CAN,2006,,10,,2007,N/A,PT6,EN,Turboprop,L,10,,2007,Malaysia,Canada,N,0.6,6,6
56825,MAL,CAN,2013,X,5,X,0,N/A,PT6,EN,Turboprop,L,,,,Malaysia,Canada,N,0.6,3,0
58288,MEX,CAN,2014,,1,,2014,VIP,Challenger-600,AC,Light transport ac,L,1,,2014,Mexico,Canada,N,15,15,15
39358,MEX,CAN,2006,,2,,2006,N/A,PT6,EN,Turboprop,L,2,,2006,Mexico,Canada,N,0.6,1.2,1.2
54180,MEX,CAN,2011,X,6,X,2012,N/A,PT6,EN,Turboprop,L,6,X,2012,Mexico,Canada,N,0.6,3.6,3.6
55794,MEX,CAN,2013,X,6,X,2014,N/A,PT6,EN,Turboprop,L,6,X,2014,Mexico,Canada,N,0.6,3.6,3.6
55978,MEX,CAN,2014,,12,X,0,N/A,PT6,EN,Turboprop,L,9,X,2015,Mexico,Canada,N,0.6,7.2,5.4
57728,MEX,CAN,2014,,2,X,2014,N/A,PT6,EN,Turboprop,L,2,X,2014,Mexico,Canada,N,0.6,1.2,1.2
58290,MEX,CAN,2014,,6,X,0,N/A,PT6,EN,Turboprop,L,,,,Mexico,Canada,N,0.6,3.6,0
58895,MEX,CAN,2014,,36,X,0,N/A,PT6,EN,Turboprop,L,,,,Mexico,Canada,N,0.6,21.6,0
51493,MEX,CAN,2008,,4,,2009,N/A,PW100,EN,Turboprop/turboshaft,L,4,,2009,Mexico,Canada,N,1,4,4
51550,MEX,CAN,2009,,10,,2011,N/A,PW100,EN,Turboprop/turboshaft,L,10,,2010-2011,Mexico,Canada,N,1,10,10
54325,MEX,CAN,2010,,4,,2011,N/A,PW100,EN,Turboprop/turboshaft,L,4,,2011,Mexico,Canada,N,1,4,4
55389,MEX,CAN,2014,X,4,X,2015,N/A,PW100,EN,Turboprop/turboshaft,L,4,X,2015,Mexico,Canada,N,1,4,4
55941,MEX,CAN,2011,,2,,2011,N/A,PW100,EN,Turboprop/turboshaft,L,2,,2011,Mexico,Canada,N,1,2,2
57931,MEX,CAN,2014,,4,,2015,N/A,PW100,EN,Turboprop/turboshaft,L,4,X,2015,Mexico,Canada,N,1,4,4
58792,MLI,CAN,2015,,6,,0,N/A,PT6,EN,Turboprop,L,,,,Mali,Canada,N,0.6,3.6,0
51479,MOR,CAN,2009,,24,X,2012,N/A,PT6,EN,Turboprop,L,24,X,2011-2012,Morocco,Canada,N,0.6,14.4,14.4
55460,MRA,CAN,2011,,4,X,2013,N/A,PT6,EN,Turboprop,L,4,X,2012-2013,Mauritania,Canada,N,0.6,2.4,2.4
58227,NIG,CAN,2013,,10,,2014,LIC,Cougar,AV,APC,,10,,2014,Nigeria,Canada,N,0.14,1.4,1.4
58471,NIG,CAN,2014,,20,X,2015,N/A,LAPV,AV,APC,,20,X,2015,Nigeria,Canada,N,0.14,2.8,2.8
57446,NIG,CAN,2013,X,10,X,2014,N/A,Spartan,AV,APC/APV,,10,X,2014,Nigeria,Canada,N,0.16,1.6,1.6
57129,NZ,CAN,2014,,11,X,2015,N/A,PT6,EN,Turboprop,L,11,X,2014-2015,New Zealand,Canada,N,0.6,6.6,6.6
50682,OMA,CAN,2007,X,1,,2008,N/A,Hawk-100,AC,Trainer/combat ac,L,1,,2008,Oman,Canada,S,4,4,4
54786,OMA,CAN,2012,,16,X,0,N/A,PW100,EN,Turboprop/turboshaft,L,14,X,2013-2015,Oman,Canada,N,1,16,14
59026,PAK,CAN,2014,X,1,,2015,N/A,Challenger-604,AC,Light transport ac,L,1,,2015,Pakistan,Canada,N,18,18,18
53022,PER,CAN,2010,,12,,2014,N/A,DHC-6 Twin Otter,AC,Transport aircraft,L,12,X,2011-2014,Peru,Canada,N,2.5,30,30
58342,PER,CAN,2014,,32,,0,N/A,Piranha-3,AV,APC,L,,,,Peru,Canada,N,0.29,9.28,0
54622,PER,CAN,2012,,20,X,0,N/A,PT6,EN,Turboprop,L,12,X,2014-2015,Peru,Canada,N,0.6,12,7.2
58141,PHI,CAN,2014,,6,X,2015,N/A,PW100,EN,Turboprop/turboshaft,L,6,X,2015,Philippines,Canada,N,1,6,6
53932,POL,CAN,2011,,12,X,0,N/A,PT6,EN,Turboprop,L,6,X,2014-2015,Poland,Canada,N,0.6,7.2,3.6
40198,POL,CAN,2006,,4,,2007,N/A,PW100,EN,Turboprop/turboshaft,L,4,,2007,Poland,Canada,N,1,4,4
40199,POL,CAN,2007,,4,X,2008,N/A,PW100,EN,Turboprop/turboshaft,L,4,X,2008,Poland,Canada,N,1,4,4
55074,POL,CAN,2012,,10,X,2013,N/A,PW100,EN,Turboprop/turboshaft,L,10,,2012-2013,Poland,Canada,N,1,10,10
37789,POR,CAN,2006,,24,X,2011,N/A,PW100,EN,Turboprop/turboshaft,L,24,X,2008-2011,Portugal,Canada,N,1,24,24
55072,QAT,CAN,2012,,24,,0,N/A,PT6,EN,Turboprop,L,18,X,2014-2015,Qatar,Canada,N,0.6,14.4,10.8
50735,ROM,CAN,2008,,2,,2011,N/A,HF SWR-503,GR,Sea search radar,L,2,X,2010-2011,Romania,Canada,N,5,10,10
38998,SAU,CAN,2006,X,132,X,2009,N/A,Piranha,AV,APC,L,132,X,2006-2009,Saudi Arabia,Canada,N,0.26,34.32,34.32
50697,SAU,CAN,2009,,724,,2015,N/A,Piranha,AV,APC,L,724,X,2011-2015,Saudi Arabia,Canada,N,0.26,188.24,188.24
53566,SAU,CAN,2011,,155,,2015,N/A,Piranha,AV,APC,L,155,X,2014-2015,Saudi Arabia,Canada,N,0.26,40.3,40.3
31644,SAU,CAN,2014,,,,0,N/A,Piranha-5,AV,APC,L,,,,Saudi Arabia,Canada,N,0,0,0
54806,SAU,CAN,2012,,55,X,0,N/A,PT6,EN,Turboprop,L,34,X,2014-2015,Saudi Arabia,Canada,N,0.6,33,20.4
59466,SAU,CAN,2015,,8,X,0,N/A,PW100,EN,Turboprop/turboshaft,L,,,,Saudi Arabia,Canada,N,1,8,0
56014,SEN,CAN,2013,,3,X,0,N/A,PT6,EN,Turboprop,L,,,,Senegal,Canada,N,0.6,1.8,0
39075,SIN,CAN,2006,,19,X,2008,N/A,PT6,EN,Turboprop,L,19,,2008,Singapore,Canada,N,0.6,11.4,11.4
57993,SSD,CAN,2014,,20,X,2014,N/A,Cougar,AV,APC,,20,X,2014,South Sudan,Canada,N,0.14,2.8,2.8
58278,SSD,CAN,2012,,25,X,2013,N/A,Typhoon,AV,APC,,25,X,2012-2013,South Sudan,Canada,N,0.25,6.25,6.25
37991,SWE,CAN,1995,X,8,,2008,N/A,Hydra,GR,ASW sonar,L,8,X,2004-2008,Sweden,Canada,N,10,80,80
39076,SWI,CAN,2006,,6,X,2008,N/A,PT6,EN,Turboprop,L,6,X,2008,Switzerland,Canada,N,0.6,3.6,3.6
52726,SWI,CAN,2010,,2,X,2012,N/A,PT6,EN,Turboprop,L,2,X,2012,Switzerland,Canada,N,0.6,1.2,1.2
56492,THA,CAN,2007,,6,,2009,N/A,PW100,EN,Turboprop/turboshaft,L,6,,2009,Thailand,Canada,N,1,6,6
39902,TUR,CAN,2007,,40,X,2012,N/A,PT6,EN,Turboprop,L,40,X,2010-2012,Turkey,Canada,N,0.6,24,24
